Date,Daily Max 8-hour CO Concentration
1/1/2019,1.70
1/2/2019,2.00
1/3/2019,1.70
1/4/2019,1.80
1/5/2019,2.00
1/7/2019,1.30
1/8/2019,1.60
1/9/2019,2.20
1/10/2019,1.60
1/11/2019,0.90
1/12/2019,1.30
1/13/2019,1.50
1/14/2019,1.20
1/15/2019,0.80
1/16/2019,0.30
1/17/2019,0.30
1/18/2019,0.70
1/19/2019,1.20
1/20/2019,1.40
1/21/2019,0.20
1/22/2019,1.40
1/23/2019,1.70
1/24/2019,1.50
1/25/2019,1.60
1/26/2019,2.10
1/27/2019,2.90
1/28/2019,2.00
1/29/2019,1.50
1/30/2019,1.00
1/31/2019,0.80
2/1/2019,1.20
2/2/2019,0.50
2/3/2019,0.60
2/4/2019,0.50
2/5/2019,0.40
2/6/2019,0.40
2/7/2019,0.70
2/8/2019,1.10
2/9/2019,0.90
2/10/2019,1.10
2/11/2019,1.00
2/12/2019,1.40
2/13/2019,1.50
2/14/2019,0.40
2/15/2019,1.20
2/16/2019,0.30
2/17/2019,0.40
2/18/2019,0.50
2/19/2019,0.80
2/20/2019,1.00
2/21/2019,1.20
2/22/2019,1.20
2/23/2019,1.10
2/24/2019,1.20
2/25/2019,1.30
2/26/2019,0.90
2/27/2019,0.60
2/28/2019,0.40
3/1/2019,0.30
3/2/2019,0.30
3/3/2019,0.20
3/4/2019,0.50
3/5/2019,1.00
3/6/2019,0.50
3/7/2019,0.50
3/8/2019,0.60
3/9/2019,0.50
3/10/2019,0.90
3/11/2019,0.90
3/12/2019,0.40
3/13/2019,0.50
3/14/2019,1.00
3/15/2019,1.10
3/16/2019,1.50
3/17/2019,1.70
3/18/2019,1.00
3/19/2019,0.50
3/20/2019,0.30
3/21/2019,0.40
3/22/2019,1.10
3/23/2019,0.60
3/24/2019,0.50
3/25/2019,1.00
3/26/2019,1.20
3/27/2019,0.30
3/28/2019,0.60
3/29/2019,0.70
3/30/2019,0.80
3/31/2019,1.50
4/1/2019,1.30
4/2/2019,0.30
4/3/2019,0.20
4/4/2019,0.30
4/5/2019,0.30
4/6/2019,0.20
4/7/2019,0.60
4/8/2019,1.30
4/9/2019,0.50
4/10/2019,0.20
