Date,Daily Max 8-hour Ozone Concentration
1/1/2019,0.03
1/2/2019,0.03
1/3/2019,0.02
1/4/2019,0.01
1/8/2019,0.02
1/9/2019,0.02
1/10/2019,0.03
1/11/2019,0.02
1/12/2019,0.03
1/13/2019,0.03
1/14/2019,0.02
1/15/2019,0.03
1/16/2019,0.03
1/17/2019,0.02
1/18/2019,0.02
1/19/2019,0.03
1/20/2019,0.03
1/21/2019,0.04
1/22/2019,0.03
1/23/2019,0.02
1/24/2019,0.02
1/25/2019,0.03
1/26/2019,0.03
1/27/2019,0.04
1/28/2019,0.02
1/29/2019,0.02
1/30/2019,0.03
1/31/2019,0.02
2/1/2019,0.03
2/2/2019,0.03
2/3/2019,0.03
2/4/2019,0.04
2/5/2019,0.04
2/6/2019,0.04
2/7/2019,0.03
2/8/2019,0.03
2/9/2019,0.04
2/10/2019,0.04
2/11/2019,0.03
2/12/2019,0.02
2/13/2019,0.03
2/14/2019,0.03
2/15/2019,0.04
2/16/2019,0.04
2/17/2019,0.04
2/18/2019,0.03
2/19/2019,0.04
2/20/2019,0.03
2/21/2019,0.03
2/22/2019,0.04
2/23/2019,0.04
2/24/2019,0.04
2/25/2019,0.04
2/26/2019,0.03
2/27/2019,0.03
2/28/2019,0.03
3/1/2019,0.03
3/2/2019,0.03
3/3/2019,0.03
3/4/2019,0.03
3/5/2019,0.03
3/6/2019,0.03
3/10/2019,0.04
3/11/2019,0.03
3/12/2019,0.04
3/13/2019,0.04
3/14/2019,0.05
3/15/2019,0.04
3/16/2019,0.05
3/17/2019,0.05
3/18/2019,0.05
3/19/2019,0.04
3/21/2019,0.04
3/22/2019,0.04
3/23/2019,0.04
3/24/2019,0.04
3/25/2019,0.05
3/26/2019,0.04
3/27/2019,0.03
3/28/2019,0.04
3/29/2019,0.04
3/30/2019,0.05
3/31/2019,0.06
4/1/2019,0.05
4/2/2019,0.04
4/3/2019,0.03
4/4/2019,0.03
4/5/2019,0.03
4/6/2019,0.04
4/7/2019,0.05
4/8/2019,0.04
4/9/2019,0.05
4/10/2019,0.04
4/11/2019,0.04
4/12/2019,0.04
4/13/2019,0.05
4/14/2019,0.05
4/15/2019,0.04
4/16/2019,0.03
4/17/2019,0.04
4/18/2019,0.04
4/19/2019,0.04
4/20/2019,0.04
4/21/2019,0.04
4/22/2019,0.04
4/23/2019,0.04
4/24/2019,0.04
4/25/2019,0.04
4/26/2019,0.04
4/27/2019,0.04
4/28/2019,0.04
4/29/2019,0.03
4/30/2019,0.04
5/2/2019,0.05
5/3/2019,0.05
5/4/2019,0.05
5/5/2019,0.05
5/6/2019,0.04
5/7/2019,0.03
5/8/2019,0.04
5/9/2019,0.04
5/10/2019,0.03
5/11/2019,0.04
5/12/2019,0.05
5/13/2019,0.04
5/14/2019,0.05
5/15/2019,0.04
5/16/2019,0.05
5/17/2019,0.05
5/18/2019,0.05
5/19/2019,0.05
5/20/2019,0.05
5/21/2019,0.04
5/22/2019,0.04
5/23/2019,0.04
5/24/2019,0.04
5/25/2019,0.04
5/26/2019,0.05
5/27/2019,0.04
5/28/2019,0.04
5/29/2019,0.04
5/30/2019,0.05
5/31/2019,0.05
6/1/2019,0.04
6/2/2019,0.04
6/3/2019,0.05
6/4/2019,0.04
6/5/2019,0.04
6/6/2019,0.05
6/7/2019,0.04
6/8/2019,0.05
6/9/2019,0.06
6/10/2019,0.06
6/14/2019,0.03
6/15/2019,0.04
6/16/2019,0.04
6/17/2019,0.04
6/18/2019,0.04
6/19/2019,0.05
6/20/2019,0.03
6/21/2019,0.03
6/22/2019,0.04
6/23/2019,0.05
6/24/2019,0.04
6/25/2019,0.03
6/26/2019,0.04
6/27/2019,0.05
6/28/2019,0.05
6/29/2019,0.05
6/30/2019,0.04
7/1/2019,0.04
7/2/2019,0.05
7/3/2019,0.04
7/4/2019,0.04
7/5/2019,0.05
7/6/2019,0.05
7/7/2019,0.05
7/8/2019,0.04
7/9/2019,0.05
7/10/2019,0.05
7/11/2019,0.04
7/12/2019,0.05
7/13/2019,0.04
7/14/2019,0.05
7/15/2019,0.05
7/16/2019,0.04
7/17/2019,0.03
7/18/2019,0.04
7/19/2019,0.03
7/20/2019,0.04
7/21/2019,0.04
7/22/2019,0.04
7/23/2019,0.05
7/24/2019,0.05
7/25/2019,0.05
7/26/2019,0.04
7/27/2019,0.05
7/28/2019,0.04
7/29/2019,0.04
7/30/2019,0.05
7/31/2019,0.05
8/1/2019,0.05
8/2/2019,0.04
8/3/2019,0.05
8/4/2019,0.05
8/5/2019,0.04
8/6/2019,0.04
8/7/2019,0.04
8/8/2019,0.05
8/9/2019,0.05
8/10/2019,0.04
8/11/2019,0.04
8/12/2019,0.04
8/13/2019,0.05
8/14/2019,0.05
8/15/2019,0.05
8/16/2019,0.04
8/17/2019,0.04
8/18/2019,0.04
8/19/2019,0.04
8/20/2019,0.04
8/21/2019,0.05
8/22/2019,0.04
8/23/2019,0.04
8/24/2019,0.05
8/25/2019,0.05
8/26/2019,0.04
8/27/2019,0.04
8/28/2019,0.04
8/29/2019,0.05
8/30/2019,0.04
8/31/2019,0.05
9/1/2019,0.05
9/2/2019,0.04
9/3/2019,0.04
9/4/2019,0.04
9/5/2019,0.04
9/6/2019,0.04
9/7/2019,0.04
9/8/2019,0.04
9/9/2019,0.04
9/10/2019,0.04
9/11/2019,0.05
9/12/2019,0.04
9/13/2019,0.05
9/14/2019,0.06
9/15/2019,0.04
9/16/2019,0.04
9/17/2019,0.04
9/18/2019,0.03
9/19/2019,0.03
9/20/2019,0.04
9/21/2019,0.07
9/22/2019,0.06
9/23/2019,0.05
9/24/2019,0.05
9/25/2019,0.04
9/26/2019,0.03
9/27/2019,0.03
9/28/2019,0.03
9/29/2019,0.04
9/30/2019,0.04
10/1/2019,0.04
10/2/2019,0.06
10/3/2019,0.05
10/4/2019,0.05
10/5/2019,0.07
10/6/2019,0.08
10/7/2019,0.05
10/8/2019,0.04
10/9/2019,0.04
10/10/2019,0.05
10/11/2019,0.05
10/12/2019,0.06
10/13/2019,0.05
10/14/2019,0.05
10/15/2019,0.05
10/16/2019,0.05
10/17/2019,0.05
10/18/2019,0.04
10/19/2019,0.05
10/20/2019,0.05
10/21/2019,0.05
10/22/2019,0.05
10/23/2019,0.05
10/24/2019,0.04
10/25/2019,0.05
10/26/2019,0.05
10/27/2019,0.04
10/28/2019,0.05
10/29/2019,0.04
10/30/2019,0.04
10/31/2019,0.04
11/1/2019,0.03
11/2/2019,0.04
11/3/2019,0.06
11/4/2019,0.05
11/5/2019,0.05
11/6/2019,0.04
11/7/2019,0.05
11/8/2019,0.04
11/9/2019,0.04
11/10/2019,0.05
11/11/2019,0.05
11/12/2019,0.05
11/13/2019,0.04
11/14/2019,0.04
