Date,Daily Mean PM2.5 Concentration
1/3/2019,12.10
1/9/2019,23.00
1/12/2019,11.10
1/15/2019,7.30
1/18/2019,11.90
1/21/2019,3.10
1/24/2019,13.30
1/27/2019,23.80
1/30/2019,17.40
2/2/2019,6.40
2/5/2019,2.70
2/8/2019,12.50
2/11/2019,8.00
2/14/2019,4.50
2/17/2019,3.40
2/20/2019,9.00
2/23/2019,11.90
2/26/2019,15.50
3/1/2019,11.70
3/4/2019,4.40
3/7/2019,3.30
3/10/2019,7.50
3/13/2019,9.00
3/16/2019,12.50
3/19/2019,14.00
3/22/2019,6.40
3/25/2019,10.50
3/28/2019,4.90
3/31/2019,13.70
4/1/2019,13.30
4/2/2019,7.60
4/3/2019,2.70
4/4/2019,2.40
4/5/2019,2.10
4/6/2019,3.70
4/7/2019,9.90
4/8/2019,13.00
4/9/2019,9.60
4/10/2019,4.30
4/11/2019,12.30
4/12/2019,11.60
4/13/2019,10.60
4/14/2019,11.50
4/15/2019,8.70
4/16/2019,6.20
4/17/2019,9.10
4/18/2019,13.90
4/19/2019,17.90
4/20/2019,8.20
4/21/2019,7.50
4/22/2019,11.20
4/23/2019,16.90
4/24/2019,16.50
4/25/2019,13.70
4/26/2019,11.00
4/27/2019,10.50
4/28/2019,6.80
4/29/2019,5.80
4/30/2019,6.00
5/1/2019,9.50
5/2/2019,12.60
5/3/2019,13.40
5/4/2019,14.80
5/5/2019,10.70
5/6/2019,3.90
5/7/2019,3.50
5/8/2019,3.60
5/9/2019,2.90
5/10/2019,2.00
5/11/2019,4.30
5/12/2019,8.50
5/13/2019,8.10
5/14/2019,9.40
5/15/2019,6.90
5/16/2019,5.20
5/17/2019,8.00
5/18/2019,9.70
5/19/2019,4.10
5/20/2019,4.20
5/21/2019,6.80
5/22/2019,6.00
5/23/2019,7.20
5/24/2019,8.20
5/25/2019,7.50
5/26/2019,4.90
5/27/2019,6.40
5/28/2019,7.50
5/29/2019,8.80
5/30/2019,13.40
5/31/2019,9.60
6/1/2019,6.00
6/2/2019,5.10
6/3/2019,6.10
6/4/2019,7.70
6/5/2019,5.90
6/6/2019,5.70
6/7/2019,5.80
6/8/2019,6.50
6/9/2019,12.30
6/10/2019,10.50
6/11/2019,10.20
6/12/2019,11.20
6/13/2019,12.90
6/14/2019,9.00
6/15/2019,8.50
6/16/2019,9.50
6/17/2019,4.90
6/18/2019,6.80
6/19/2019,7.80
6/20/2019,5.50
6/21/2019,1.90
6/22/2019,6.20
6/23/2019,9.50
6/24/2019,9.20
6/25/2019,5.20
6/26/2019,6.20
6/27/2019,7.80
6/28/2019,9.20
6/29/2019,10.50
6/30/2019,11.10
7/1/2019,11.80
7/2/2019,12.70
7/3/2019,12.30
7/4/2019,30.90
7/5/2019,14.30
7/6/2019,13.10
7/7/2019,9.10
7/8/2019,9.00
7/9/2019,10.30
7/10/2019,10.90
7/11/2019,11.00
7/12/2019,12.30
7/13/2019,12.30
7/14/2019,14.10
7/15/2019,16.40
7/16/2019,14.00
7/17/2019,8.60
7/18/2019,8.60
7/19/2019,5.30
7/20/2019,7.20
7/21/2019,6.80
7/22/2019,9.60
7/23/2019,9.30
7/24/2019,12.00
7/25/2019,14.40
7/26/2019,14.90
7/27/2019,11.20
7/28/2019,11.60
7/29/2019,12.30
7/30/2019,13.00
7/31/2019,13.20
8/1/2019,10.00
8/2/2019,9.20
8/3/2019,10.50
8/4/2019,10.60
8/5/2019,10.70
8/6/2019,11.50
8/7/2019,11.70
8/8/2019,12.50
8/9/2019,9.60
8/10/2019,8.10
8/11/2019,6.50
8/12/2019,8.70
8/13/2019,13.30
8/14/2019,12.00
8/15/2019,11.10
8/16/2019,7.70
8/17/2019,5.20
8/18/2019,4.60
8/19/2019,6.70
8/20/2019,7.80
8/21/2019,10.40
8/22/2019,11.00
8/23/2019,9.60
8/24/2019,9.00
8/25/2019,8.50
8/26/2019,7.70
8/27/2019,8.70
8/28/2019,8.90
8/29/2019,9.00
8/30/2019,10.30
8/31/2019,11.60
9/1/2019,11.00
9/2/2019,10.50
9/3/2019,10.40
9/4/2019,11.10
9/5/2019,10.80
9/6/2019,9.00
9/7/2019,8.50
9/8/2019,8.10
9/9/2019,9.70
9/10/2019,10.00
9/11/2019,9.60
9/12/2019,11.00
9/13/2019,9.90
9/14/2019,10.40
9/15/2019,12.60
9/16/2019,10.70
9/17/2019,7.50
9/18/2019,7.70
9/19/2019,7.30
9/20/2019,7.90
9/21/2019,10.60
9/22/2019,11.60
9/23/2019,10.80
9/24/2019,10.90
9/25/2019,9.50
9/26/2019,7.00
9/27/2019,6.20
9/28/2019,3.90
9/29/2019,8.00
10/1/2019,9.30
10/2/2019,10.40
10/3/2019,10.70
10/4/2019,11.00
10/5/2019,13.10
10/6/2019,15.00
10/7/2019,12.00
10/8/2019,11.00
10/9/2019,10.70
10/10/2019,12.30
10/11/2019,11.50
10/12/2019,13.10
10/13/2019,14.90
10/14/2019,11.80
10/15/2019,14.20
10/16/2019,15.70
10/17/2019,11.80
10/18/2019,9.70
10/19/2019,13.10
10/20/2019,11.50
10/21/2019,8.20
10/22/2019,11.10
10/23/2019,13.50
10/24/2019,13.30
10/25/2019,12.50
10/26/2019,10.70
10/27/2019,11.70
10/28/2019,14.20
10/29/2019,13.70
10/30/2019,11.00
10/31/2019,15.80
11/1/2019,13.00
11/2/2019,26.60
11/3/2019,25.90
11/4/2019,23.80
11/5/2019,19.00
11/6/2019,22.50
11/7/2019,39.50
11/8/2019,19.50
11/9/2019,15.90
11/10/2019,19.70
11/11/2019,21.70
11/12/2019,31.70
11/13/2019,32.70
11/14/2019,19.10
11/15/2019,14.80
11/16/2019,22.50
11/17/2019,18.50
11/18/2019,6.80
11/19/2019,12.70
11/20/2019,5.20
11/21/2019,8.40
11/22/2019,13.60
11/23/2019,13.00
11/24/2019,13.50
11/25/2019,16.70
11/26/2019,13.50
11/27/2019,7.40
11/28/2019,6.40
11/29/2019,7.60
11/30/2019,10.80
12/1/2019,12.00
12/2/2019,17.00
12/3/2019,28.00
12/4/2019,10.20
12/5/2019,11.70
12/6/2019,14.60
12/7/2019,7.70
12/8/2019,6.50
12/9/2019,9.00
12/10/2019,13.50
12/11/2019,17.90
12/12/2019,22.60
12/13/2019,30.00
12/14/2019,22.40
12/15/2019,8.60
12/16/2019,7.20
12/17/2019,6.90
12/18/2019,12.40
12/19/2019,20.00
12/20/2019,11.70
12/21/2019,22.60
12/22/2019,14.20
12/23/2019,6.70
12/24/2019,13.20
12/25/2019,10.00
12/26/2019,7.80
12/27/2019,15.10
12/28/2019,18.10
12/29/2019,22.20
12/30/2019,13.40
12/31/2019,24.20
